group,cell_type,n,unique,duplicate_rate,gc_mean,gc_sd,cpg_mean,novelty_vs_endogenous,novelty_vs_pretrained,3mer_jsd_vs_endogenous,motif_GATA,motif_CACCTG,motif_CAGCTG,motif_GGAA,motif_TGTTT,motif_GTTTG,motif_AGGTCA,motif_TGACCT,motif_TTTGCAT,motif_GAAA,motif_ATGCAA
fine_tuned,K562,0,0,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,
fine_tuned,HepG2,0,0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,
fine_tuned,GM12878,0,0,,,,,,,,,,,0.0,,,,,0.0,0.0,0.0
pretrained,K562,1000,1000,0.0,0.49917500000000004,0.07152163571255904,4.196,1.0,0.0,0.04942902115767599,0.692,0.055,0.153,0.612,,,,,,,
pretrained,HepG2,1000,1000,0.0,0.46425,0.10099399734637697,2.72,1.0,0.0,0.04226403492033551,,,,,0.533,0.387,0.182,0.173,,,
pretrained,GM12878,1000,1000,0.0,0.431935,0.06268317776724469,2.406,1.0,0.0,0.058159528251979405,,,,0.645,,,,,0.054,0.85,0.096
endogenous,K562,11968,11968,0.0,0.49564756016042777,0.06730033440302072,3.3287098930481283,0.0,1.0,0.0,0.5985127005347594,0.06066176470588235,0.16009358288770054,0.644802807486631,,,,,,,
endogenous,HepG2,11968,11968,0.0,0.46185745320855615,0.08138189049289986,2.518215240641711,0.0,1.0,0.0,,,,,0.43691510695187163,0.28851938502673796,0.14572192513368984,0.13586229946524064,,,
endogenous,GM12878,11968,11968,0.0,0.45256684491978605,0.06914948140863315,2.5421122994652405,0.0,1.0,0.0,,,,0.6654411764705882,,,,,0.053643048128342245,0.7935327540106952,0.08480949197860962
